epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,23543.1,0.95419,1.52744,1.12636,1.23513,0.8109,0.7484,0.8228,0.618,0.77503,0.71089,0.76345,0.50817,0.91058,1.395,0.7937,1.14408,0.00307,0.00307,0.00307
72,24056.4,0.9504,1.52608,1.11961,1.23328,0.80967,0.74976,0.82308,0.6183,0.77388,0.71315,0.76442,0.50844,0.91061,1.39415,0.7928,1.14402,0.002971,0.002971,0.002971
73,24568.6,0.95144,1.53666,1.11623,1.23387,0.8067,0.75302,0.82372,0.61837,0.77266,0.71562,0.76529,0.50836,0.91071,1.393,0.79177,1.14391,0.002872,0.002872,0.002872
74,25081.1,0.94661,1.50937,1.10766,1.22941,0.808,0.75384,0.82406,0.6185,0.77672,0.71399,0.76557,0.50876,0.91073,1.3924,0.79081,1.14388,0.002773,0.002773,0.002773
75,25593.8,0.94511,1.49828,1.09891,1.22872,0.80866,0.7542,0.82454,0.619,0.77367,0.71681,0.76508,0.50925,0.91042,1.39173,0.79012,1.14358,0.002674,0.002674,0.002674
76,26104.8,0.94183,1.51238,1.09851,1.22495,0.80813,0.75525,0.82483,0.61946,0.77539,0.71663,0.76634,0.50987,0.91018,1.39073,0.78893,1.14319,0.002575,0.002575,0.002575
77,26617.6,0.93535,1.48396,1.09306,1.22164,0.81021,0.75441,0.82538,0.62012,0.77989,0.71382,0.76659,0.51028,0.90986,1.39021,0.78807,1.14293,0.002476,0.002476,0.002476
78,27129.3,0.92959,1.48754,1.07834,1.21926,0.81235,0.75182,0.82557,0.62051,0.77977,0.71326,0.76652,0.51027,0.90939,1.38971,0.78696,1.14254,0.002377,0.002377,0.002377
79,27641.4,0.92978,1.49645,1.07779,1.21676,0.8116,0.75337,0.82568,0.6207,0.77849,0.71435,0.76662,0.51039,0.90923,1.38892,0.78614,1.14223,0.002278,0.002278,0.002278
80,28154.6,0.92707,1.47722,1.0728,1.21995,0.81539,0.75122,0.82612,0.62128,0.78019,0.71491,0.76744,0.51098,0.90905,1.38869,0.78503,1.14193,0.002179,0.002179,0.002179
81,28668.4,0.92411,1.47184,1.07098,1.21775,0.81477,0.75226,0.82611,0.62154,0.78007,0.71459,0.76585,0.51078,0.90888,1.38845,0.78424,1.14173,0.00208,0.00208,0.00208
82,29182.5,0.92592,1.47213,1.0625,1.21461,0.81678,0.75185,0.82638,0.62198,0.78185,0.71341,0.76706,0.51105,0.90848,1.3883,0.78316,1.1415,0.001981,0.001981,0.001981
83,29691.9,0.92067,1.46178,1.05814,1.21141,0.81835,0.74852,0.82634,0.62191,0.78356,0.71107,0.76715,0.51145,0.90844,1.38781,0.78219,1.14139,0.001882,0.001882,0.001882
84,30204.5,0.91659,1.43701,1.05075,1.21042,0.81833,0.74873,0.82657,0.62193,0.78298,0.71184,0.76719,0.51193,0.90808,1.3873,0.78143,1.1411,0.001783,0.001783,0.001783
85,30716,0.91458,1.44933,1.04451,1.20678,0.81845,0.74976,0.82695,0.62247,0.78424,0.71092,0.76732,0.51182,0.90813,1.38709,0.78066,1.14104,0.001684,0.001684,0.001684
86,31228.5,0.91386,1.44796,1.03122,1.20841,0.81703,0.75112,0.82746,0.62256,0.78504,0.71071,0.76781,0.51217,0.90797,1.38665,0.77982,1.14084,0.001585,0.001585,0.001585
87,31742.5,0.90883,1.44247,1.03318,1.20529,0.81843,0.75019,0.82764,0.62288,0.78593,0.70848,0.76742,0.51278,0.90761,1.38585,0.779,1.14051,0.001486,0.001486,0.001486
88,32254.9,0.9034,1.43486,1.02526,1.20196,0.82104,0.7486,0.82795,0.62337,0.78753,0.70748,0.76758,0.51268,0.90735,1.38541,0.77823,1.1402,0.001387,0.001387,0.001387
